34815043,7141698,1,50,2
34820969,7920184,1,40,1
34822465,7130021,1,50,2
34825115,7938525,1,40,1
34825459,7114084,11,50,0
34828328,7107722,1,50,0
34828966,6985099,1,50,1
34830132,6981033,18,0,2
34831800,7081363,1,40,1
34831844,7880620,17,40,1
34832182,7880497,17,40,1
34832290,7103096,1,50,1
34832730,7081139,1,50,1
34833752,7105886,1,40,0
34834277,7115254,1,50,1
34835275,7088926,1,50,0
34835605,7097306,11,40,1
34835691,7019588,1,50,1
34835880,7105010,1,40,1
34836335,7021641,1,50,1
34837825,7222482,17,40,1
34837887,7222478,17,40,1
34838837,7125645,1,40,1
34838902,7125778,1,40,1
34839487,7192438,1,50,1
34839542,7192443,1,50,1
34839663,7172338,3,0,1
34842227,7168335,1,40,1
34842280,7168216,1,40,1
34842861,7129286,1,40,2
34843022,7119423,11,40,1
34843422,7108884,1,80,1
34844175,7118487,1,50,1
34844639,7912230,1,60,2
34845309,7040439,1,50,1
34845613,7124831,1,50,1
34846180,7042338,18,0,1
34846809,7147080,11,60,1
34846928,7044715,1,50,1
34847135,7147038,11,60,1
34848257,7090898,1,50,1
34848668,7087716,1,50,1
34849369,7074648,1,50,1
34849389,7074966,18,0,1
34849592,7074755,18,0,1
34849761,7072422,1,50,1
34849859,7126460,1,50,1
34850038,7065754,1,50,1
34850447,7063324,1,50,1
34852038,7140662,1,80,1
34852176,7127215,1,50,1
34853046,7150995,1,80,1
34853325,7151436,1,80,1
34854385,7136297,1,80,1
34855231,7192987,1,50,0
34855341,7119746,11,50,1
34855464,7988563,1,40,1
34855564,7187909,1,50,0
34855607,7105359,1,40,0
34855652,7988872,1,40,1
34856529,7097017,1,50,1
34857365,8004828,1,60,1
34861443,7101233,1,40,1
34861905,8022779,1,50,1
34863020,7131495,11,50,1
34863238,8024952,1,50,1
34866679,7969361,1,60,1
34867440,7968192,1,60,1
34868546,7162926,3,0,0
34871297,8039692,3,0,1
34871305,8039530,3,0,1
34871705,8063943,1,40,1
34872282,7948901,1,60,0
34872531,7107041,1,40,0
34873682,8063488,3,0,1
34876903,7121605,11,40,0
34877716,7942062,1,40,1
34877986,7942158,1,40,1
34881334,7936591,1,60,1
34881647,7120045,11,40,1
34882101,8091878,3,0,1
34883179,8041525,1,60,1
34883674,7129028,1,40,1
34885209,8088824,3,0,1
34885933,8043217,1,60,1
34886553,8098599,3,0,1
34887330,8043867,3,0,1
34888002,7114929,3,0,1
34888140,8107807,1,60,1
34889532,8105320,3,0,1
34889613,8105288,3,0,1
34889664,8066565,3,0,1
34891596,8080336,1,60,1
34891865,8038594,3,0,1
34891934,7773877,1,40,2
34892135,8080063,1,60,1
34892153,8038535,3,0,1
34892302,7146335,1,40,1
34892366,7146312,1,40,1
34892836,8048863,3,0,1
34892985,8048451,3,0,1
34894649,8076778,3,0,1
34895283,7154194,11,60,0
34897016,7773555,1,40,2
34897340,8062599,3,0,1
34897594,8063735,3,0,1
34899036,7914040,1,50,1
34899348,7914159,1,50,1
34901352,7906747,3,0,1
34901403,7905038,3,0,1
34902072,8130545,3,0,1
34902121,7909372,18,0,1
34902211,7907269,18,0,1
34902213,7904814,3,0,1
34902517,7897388,1,50,1
34902598,8130624,3,0,1
34902917,7896602,1,50,1
34903229,8140996,1,60,1
34903495,7890625,1,50,1
34903770,7890574,1,50,1
34903930,8061171,3,0,1
34905421,8057966,3,0,1
34906237,7871578,1,50,1
34906569,7871056,1,50,1
34906969,8030145,3,0,1
34907632,7861879,1,50,1
34907960,7861604,1,50,1
34908429,7856412,1,50,1
